"","x","y","Presence","temp_mean_annual","temp_range","prec_annual","tree_cover","pop_dens","aspect","slope","water_bodies"
"11530",759500,3158500,0,25.68254,10.19523,2156.718,99,0.001491618,84.47246,0.6691447,0.007999999
"11531",-1665500,2526500,0,24.86929,10.18683,3455.603,100,2.078691,164.0546,1.459603,0.1056
"11532",-200500,1043500,0,23.94639,20,755.6522,21,4.608152,243.435,0.128117,0.5168
"11533",-1013500,4634500,0,27.24084,12.62817,1346.796,37,35.85083,289.5367,0.4711579,0
"11534",-1126500,1687500,0,18.07571,10.56275,61.5174,0,16.85575,306.1007,2.878381,0.016
"11535",-1103500,3325500,0,25.55,8.252046,3291.209,100,0.8734335,198.435,0.06794441,1.128
"11536",-160500,2476500,0,24.80137,12.25048,2238.057,98,0.8028806,240.7086,1.68296,0
"11537",-1439500,2166500,0,19.70569,14.4363,806.4528,83,22.97727,338.942,8.546824,0.2624
"11538",1813500,2744500,0,27.41641,12.49166,1084.455,6,0.4125417,285.8025,0.3944878,0
"11539",1078500,2381500,0,27.25,13.06876,1735.7,96,0.9274473,200.556,0.1223837,0.9856
"11540",135500,1141500,0,24.55,17.1,1265.062,79,0.7939399,225,0.02025712,0.1872
"11541",-947500,724500,0,15.82312,22.66136,23.85966,0,0.5013781,310.7494,1.502817,0.1184
"11542",270500,2130500,0,24.43628,13.52148,1825.365,78,0.1022516,135,0.06077133,0
"11543",-1611500,4578500,0,27.69126,12.92462,2099.847,70,28.37642,19.85522,0.5482368,0
"11546",-503500,2295500,0,25.65,11.05421,1699.017,53,1.021488,6.842773,0.1803333,1.488
"11547",1628500,1732500,0,22.18298,14.4,1148.637,36,1.835948,298.3755,2.229228,0
"11548",1637500,1283500,0,19.34763,14.54434,2311.58,70,0.009098624,132.6021,6.02969,0.16
"11549",-725500,3129500,0,25.75,9.100041,2773.292,100,0.1555886,237.0948,0.1450186,0.0064
"11550",150500,572500,0,21.65,19.8,1497.57,5,9.923664,251.565,0.02264814,0.104
"11551",-953500,705500,0,15.67703,21.21264,23.22557,0,0.5013781,200.8164,2.396846,0
