"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1072",1072,NA,"PRESENT",-1807836.79744096,4077826.51377301
"1073",1073,NA,"PRESENT",-501975.912084859,1128307.39801482
"1074",1074,NA,"PRESENT",-479916.828345211,1143248.40142666
"1075",1075,NA,"PRESENT",-486518.352217826,1136642.58470104
"1076",1076,NA,"PRESENT",-491393.530814489,1129978.91136324
"1077",1077,NA,"PRESENT",-501391.641646965,1132122.1165138
"1078",1078,NA,"PRESENT",-496831.550656008,1128123.47605714
"1079",1079,NA,"PRESENT",-481801.137546261,1124216.2404336
"1080",1080,NA,"PRESENT",-492879.667065654,1130129.40272601
"1081",1081,NA,"PRESENT",-1819644.07024722,4051200.79242142
"1082",1082,NA,"PRESENT",-593831.963443051,744253.44204057
"1083",1083,NA,"PRESENT",-1822922.73247563,4081929.96604489
"1084",1084,NA,"PRESENT",-1822917.32795487,4081923.51730094
"1085",1085,NA,"PRESENT",-1753007.28037755,2255355.26493241
"1086",1086,NA,"PRESENT",-1805508.90229904,4090122.106311
"1087",1087,NA,"PRESENT",-2076460.18053604,3473300.04104869
"1088",1088,NA,"PRESENT",-416237.156784117,935612.172419405
"1089",1089,NA,"PRESENT",-2080864.97419619,3474996.9685858
"1090",1090,NA,"PRESENT",-1308861.99432543,2034928.90774951
"1091",1091,NA,"PRESENT",-579510.022427508,776841.575382582
"1092",1092,NA,"PRESENT",-526888.660694379,874661.54941035
"1093",1093,NA,"PRESENT",-566212.683180533,673402.96680824
"1094",1094,NA,"PRESENT",-543381.337731025,602006.512275619
"1095",1095,NA,"PRESENT",-500889.493122035,829640.719098991
"1096",1096,NA,"PRESENT",-443245.481674476,1205063.40952235
"1097",1097,NA,"PRESENT",-476031.597595948,1169645.76532528
"1098",1098,NA,"PRESENT",-706480.553619449,320676.680278657
"1099",1099,NA,"PRESENT",-429964.360877952,906899.393221318
"1100",1100,NA,"PRESENT",-473402.255793937,1260455.51764829
"1101",1101,NA,"PRESENT",-437837.915475503,888922.826373684
"1102",1102,NA,"PRESENT",-1665684.51514,2202138.0765514
"1103",1103,NA,"PRESENT",-531771.933052366,952267.404495355
"1104",1104,NA,"PRESENT",-535800.557575557,791951.325574184
"1105",1105,NA,"PRESENT",-1471047.62655347,4273242.99733922
"1106",1106,NA,"PRESENT",-541889.841415779,960639.069178244
"1107",1107,NA,"PRESENT",-558574.683441777,782815.728663141
"1108",1108,NA,"PRESENT",-415857.733932133,1227508.89545165
"1109",1109,NA,"PRESENT",-1812176.77093397,4088243.97387283
"1110",1110,NA,"PRESENT",-2159624.07576169,3194277.89770859
"1111",1111,NA,"PRESENT",-544782.841929456,602112.476958297
"1112",1112,NA,"PRESENT",-539836.375481541,594714.02744575
"1113",1113,NA,"PRESENT",-1753002.64738718,2255109.72140018
"1114",1114,NA,"PRESENT",-499734.406504485,776204.632608542
"1115",1115,NA,"PRESENT",-1820199.74430803,4050715.95165145
"1116",1116,NA,"PRESENT",-430040.90514226,906862.212239863
"1117",1117,NA,"PRESENT",-2114093.76141143,3510988.59499716
"1118",1118,NA,"PRESENT",-541910.970124266,960644.711787408
"1119",1119,NA,"PRESENT",-1739000.85207665,2236768.25969569
"1120",1120,NA,"PRESENT",-559081.181334798,532518.284586742
"1121",1121,NA,"PRESENT",-1822932.81785204,4081918.47844412
"1122",1122,NA,"PRESENT",-2191919.86114072,2830197.58911253
"1123",1123,NA,"PRESENT",-503350.589631096,825671.211294397
"1124",1124,NA,"PRESENT",-423741.023864619,891219.547933069
"1125",1125,NA,"PRESENT",-2076950.55235103,3492025.2677619
"1126",1126,NA,"PRESENT",-564146.733855828,895044.410688769
