"","x","y","Presence"
"584",1366500,1966500,1
"585",1197500,1882500,1
"586",1196500,1880500,1
"587",1204500,1876500,1
"588",1214500,1874500,1
"589",1220500,1868500,1
"590",1212500,1867500,1
"591",1205500,1864500,1
"592",800500,1855500,1
"593",1239500,1835500,1
"594",1240500,1829500,1
"595",1231500,1824500,1
"596",-793500,1815500,1
"597",346500,1807500,1
"598",-1207500,1787500,1
"599",325500,1780500,1
"600",320500,1772500,1
"601",-190500,1743500,1
"602",-550500,1740500,1
"603",978500,1720500,1
"604",330500,1716500,1
"605",677500,1702500,1
"606",-395500,1674500,1
"607",-391500,1670500,1
"608",1135500,1626500,1
"609",-952500,1610500,1
"610",717500,1596500,1
"611",-972500,1595500,1
"612",-971500,1594500,1
"613",-972500,1593500,1
"614",-963500,1587500,1
"615",-957500,1553500,1
"616",-957500,1549500,1
"617",1354500,1493500,1
"618",302500,1462500,1
"619",382500,1462500,1
"620",303500,1454500,1
"621",364500,1454500,1
"622",396500,1452500,1
"623",386500,1441500,1
"624",391500,1441500,1
"625",476500,1428500,1
"626",401500,1380500,1
"627",416500,1375500,1
"628",1985500,1373500,1
"629",1136500,1342500,1
"630",1227500,1336500,1
"631",1232500,1334500,1
"632",1257500,1334500,1
"633",1527500,1334500,1
"634",1225500,1333500,1
"635",522500,1332500,1
"636",1235500,1332500,1
"637",1606500,1324500,1
"638",1261500,1322500,1
"639",1594500,1322500,1
"640",1263500,1320500,1
"641",1609500,1320500,1
"642",1970500,1313500,1
"643",1069500,1312500,1
"644",1123500,1311500,1
"645",975500,1308500,1
"646",1110500,1303500,1
"647",976500,1302500,1
"648",947500,1299500,1
"649",1070500,1298500,1
"650",-163500,1258500,1
"651",1130500,1258500,1
"652",1786500,1243500,1
"653",1154500,1231500,1
"654",1176500,1229500,1
"655",1168500,1228500,1
"656",1174500,1227500,1
"657",1250500,1227500,1
"658",1243500,1224500,1
"659",-235500,1223500,1
"660",1179500,1221500,1
"661",-237500,1219500,1
"662",1182500,1219500,1
"663",1164500,1217500,1
"664",1865500,1213500,1
"665",1052500,1208500,1
"666",1048500,1204500,1
"667",1045500,1200500,1
"668",898500,1196500,1
"669",908500,1194500,1
"670",903500,1192500,1
"671",1125500,1192500,1
"672",913500,1190500,1
"673",1050500,1186500,1
"674",1054500,1186500,1
"675",1733500,1184500,1
"676",1052500,1182500,1
"677",1170500,1165500,1
"678",1161500,1162500,1
"679",1176500,1162500,1
"680",1162500,1156500,1
"681",1166500,1154500,1
"682",1250500,1153500,1
"683",1161500,1150500,1
"684",1158500,1149500,1
"685",1163500,1149500,1
"686",1177500,1149500,1
"687",1159500,1147500,1
"688",1168500,1147500,1
"689",1173500,1146500,1
"690",1164500,1145500,1
"691",1229500,1144500,1
"692",1196500,1139500,1
"693",950500,1127500,1
"694",831500,1126500,1
"695",763500,1124500,1
"696",-33500,1123500,1
"697",1131500,1122500,1
"698",1120500,1121500,1
"699",1308500,1115500,1
"700",1155500,1114500,1
"701",1162500,1114500,1
"702",1309500,1109500,1
"703",1155500,1107500,1
"704",1173500,1107500,1
"705",1135500,1106500,1
"706",876500,1104500,1
"707",31500,1103500,1
"708",734500,1100500,1
"709",737500,1094500,1
"710",985500,1092500,1
"711",1217500,1091500,1
"712",1078500,1089500,1
"713",851500,1088500,1
"714",1201500,1088500,1
"715",857500,1086500,1
"716",1202500,1083500,1
"717",1007500,1082500,1
"718",1188500,1081500,1
"719",873500,1079500,1
"720",1210500,1077500,1
"721",956500,1072500,1
"722",1279500,1072500,1
"723",1083500,1071500,1
"724",1011500,1070500,1
"725",1215500,1070500,1
"726",1219500,1070500,1
"727",1225500,1070500,1
"728",1194500,1069500,1
"729",1192500,1068500,1
"730",1081500,1067500,1
"731",1212500,1062500,1
"732",1166500,1061500,1
"733",1172500,1060500,1
"734",1071500,1056500,1
"735",1219500,1051500,1
"736",1225500,1050500,1
"737",1216500,1049500,1
"738",1151500,1044500,1
"739",1158500,1044500,1
"740",1474500,1039500,1
"741",1089500,1038500,1
"742",1082500,1030500,1
"743",1444500,1028500,1
"744",1430500,1024500,1
"745",1251500,1023500,1
"746",41500,1014500,1
"747",54500,1014500,1
"748",1651500,1010500,1
"749",1737500,1006500,1
"750",1687500,1000500,1
"751",1747500,999500,1
"752",1041500,994500,1
"753",1353500,986500,1
"754",1703500,983500,1
"755",1346500,977500,1
"756",1403500,969500,1
"757",1118500,966500,1
"758",-441500,960500,1
"759",-470500,958500,1
"760",1428500,953500,1
"761",1441500,952500,1
"762",1438500,951500,1
"763",1399500,950500,1
"764",1443500,942500,1
"765",1355500,940500,1
"766",1421500,940500,1
"767",1436500,940500,1
"768",1281500,932500,1
"769",1376500,925500,1
"770",1384500,925500,1
"771",1443500,924500,1
"772",1439500,923500,1
"773",428500,922500,1
"774",1253500,917500,1
"775",-176500,895500,1
"776",1268500,894500,1
"777",1230500,885500,1
"778",1175500,882500,1
"779",1159500,879500,1
"780",1161500,878500,1
"781",1071500,877500,1
"782",1163500,877500,1
"783",1166500,877500,1
"784",1161500,876500,1
"785",1169500,876500,1
"786",1159500,875500,1
"787",1039500,868500,1
"788",1047500,867500,1
"789",1138500,863500,1
"790",1117500,856500,1
"791",1114500,855500,1
"792",1119500,855500,1
"793",1114500,853500,1
"794",1124500,852500,1
"795",1250500,842500,1
"796",1094500,839500,1
"797",1096500,839500,1
"798",174500,818500,1
"799",253500,816500,1
"800",-502500,809500,1
"801",-500500,809500,1
"802",169500,809500,1
"803",169500,808500,1
"804",174500,808500,1
"805",171500,806500,1
"806",177500,806500,1
"807",174500,805500,1
"808",192500,804500,1
"809",174500,801500,1
"810",185500,801500,1
"811",174500,800500,1
"812",183500,800500,1
"813",189500,800500,1
"814",193500,800500,1
"815",170500,799500,1
"816",178500,794500,1
"817",1150500,757500,1
"818",543500,739500,1
"819",540500,738500,1
"820",540500,736500,1
"821",526500,735500,1
"822",535500,735500,1
"823",536500,735500,1
"824",539500,735500,1
"825",526500,734500,1
"826",538500,734500,1
"827",539500,734500,1
"828",534500,733500,1
"829",541500,733500,1
"830",523500,732500,1
"831",534500,732500,1
"832",537500,732500,1
"833",520500,731500,1
"834",534500,731500,1
"835",538500,731500,1
"836",539500,731500,1
"837",521500,730500,1
"838",533500,730500,1
"839",534500,730500,1
"840",523500,729500,1
"841",527500,729500,1
"842",532500,729500,1
"843",533500,729500,1
"844",542500,729500,1
"845",523500,728500,1
"846",527500,728500,1
"847",528500,728500,1
"848",531500,728500,1
"849",533500,728500,1
"850",523500,727500,1
"851",524500,727500,1
