"","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"2894",NA,"PRESENT",-76.45071,-11.66101
"2895",NA,"PRESENT",-76.58242,-11.767504
"2896",NA,"PRESENT",-66.33167,-17.344658
"2897",NA,"PRESENT",-76.33026,-11.583633
"2898",NA,"PRESENT",-63.59888,-18.104713
"2899",NA,"PRESENT",-71.948654,-15.602531
"2900",NA,"PRESENT",-72.47184,-13.555072
"2901",NA,"PRESENT",-66.87237,-29.336052
"2902",NA,"PRESENT",-76.6266,-11.8333
"2903",NA,"PRESENT",-76.572716,-11.773815
"2904",25,"PRESENT",-78.151072,-0.3562
"2905",25,"PRESENT",-71.893166,-15.607168
"2906",25,"PRESENT",-71.893646,-15.607072
"2907",31394,"PRESENT",-75.232927,4.853675
"2908",30870,"PRESENT",-71.558567,-15.749775
"2909",25,"PRESENT",-78.31939,-0.458187
"2910",11,"PRESENT",-71.904085,-15.610578
"2911",31451,"PRESENT",-78.052317,-0.455877
"2912",30003,"PRESENT",-65.848096,-25.025235
"2913",29775,"PRESENT",-65.786064,-27.196487
"2914",29775,"PRESENT",-65.707569,-27.026309
"2915",NA,"PRESENT",-78.22658,-0.535292
"2916",NA,"PRESENT",-67.99008,-16.327435
"2917",NA,"PRESENT",-66.31114,-17.28647
"2918",NA,"PRESENT",-64.60889,-17.904179
"2919",NA,"PRESENT",-75.504814,4.967572
"2920",NA,"PRESENT",-72.524574,-13.154796
"2921",NA,"PRESENT",-72.320564,-13.225073
"2922",NA,"PRESENT",-72.3406,-13.125205
"2923",NA,"PRESENT",-78.29213,-0.842799
"2924",NA,"PRESENT",-75.432,4.878889
"2925",NA,"PRESENT",-64.21936,-18.123177
"2926",NA,"PRESENT",-72.2791,-13.1528
"2927",NA,"PRESENT",-79.15905,-3.467088
"2928",NA,"PRESENT",-72.710625,-15.201337
"2929",NA,"PRESENT",-72.712715,-15.183122
"2930",NA,"PRESENT",-73.21612,-15.348958
"2931",NA,"PRESENT",-66.239525,-24.437977
"2932",NA,"PRESENT",-63.530758,-20.028053
"2933",NA,"PRESENT",-65.37768,-22.106392
"2934",NA,"PRESENT",-69.25279,-19.057953
"2935",NA,"PRESENT",-78.21463,-0.53699
"2936",NA,"PRESENT",-68.04279,-16.336325
"2937",NA,"PRESENT",-72.94158,10.39513
"2938",NA,"PRESENT",-78.271774,0.180102
"2939",NA,"PRESENT",-74.40921,-14.695522
"2940",NA,"PRESENT",-63.67549,-19.65167
"2941",NA,"PRESENT",-76.493996,2.38759
"2942",NA,"PRESENT",-76.44662,2.379411
"2943",NA,"PRESENT",-72.52956,-13.541866
"2944",NA,"PRESENT",-69.03581,-20.92355
"2945",NA,"PRESENT",-69.594826,-18.270357
"2946",NA,"PRESENT",-65.484116,-24.11698
"2947",NA,"PRESENT",-65.49793,-24.085218
"2948",NA,"PRESENT",-65.50605,-24.0777
"2949",NA,"PRESENT",-64.60427,-17.90175
"2950",NA,"PRESENT",-70.46992,-13.795011
"2951",NA,"PRESENT",-77.914185,0.301365
"2952",NA,"PRESENT",-75.44363,4.738749
"2953",NA,"PRESENT",-64.399185,-24.099253
"2954",NA,"PRESENT",-71.89335,-15.609316
"2955",NA,"PRESENT",-66.38531,-17.279379
"2956",NA,"PRESENT",-69.51343,-18.466787
"2957",NA,"PRESENT",-64.82731,-18.137735
"2958",NA,"PRESENT",-72.05587,-13.322238
"2959",NA,"PRESENT",-72.56477,-13.420814
"2960",NA,"PRESENT",-78.31248,-0.444899
"2961",NA,"PRESENT",-72.48031,-13.573529
"2962",NA,"PRESENT",-72.57563,-13.389268
"2963",31032,"PRESENT",-72.358113,-13.241782
"2964",31045,"PRESENT",-72.399035,-13.032843
"2965",31045,"PRESENT",-72.254767,-13.037171
"2966",1461,"PRESENT",-72.093358,-15.61802
"2967",118790,"PRESENT",-71.771139,-13.545381
"2968",46,"PRESENT",-71.840655,-15.601511
"2969",30562,"PRESENT",-69.330776,-19.562255
"2970",31451,"PRESENT",-78.314317,-0.431425
"2971",31126,"PRESENT",-76.550098,-11.626313
"2972",30258,"PRESENT",-65.2661,-22.762905
"2973",NA,"PRESENT",-66.98253,-29.394505
"2974",NA,"PRESENT",-75.35025,4.933692
"2975",NA,"PRESENT",-65.38577,-17.530052
"2976",NA,"PRESENT",-69.88399,-18.356726
"2977",NA,"PRESENT",-76.50953,-11.664355
"2978",NA,"PRESENT",-76.56508,-11.693849
"2979",NA,"PRESENT",-65.13537,-26.036024
"2980",NA,"PRESENT",-77.97868,0.275344
"2981",NA,"PRESENT",-64.96393,-24.311838
"2982",NA,"PRESENT",-71.89699,-15.610332
"2983",NA,"PRESENT",-65.314,-25.275
"2984",NA,"PRESENT",-65.76,-24.728333
"2985",NA,"PRESENT",-65.23002,-24.810963
"2986",NA,"PRESENT",-77.94403,0.301507
"2987",NA,"PRESENT",-63.59892,-18.10458
"2988",NA,"PRESENT",-63.84244,-18.173004
"2989",NA,"PRESENT",-66.81843,-17.083319
"2990",NA,"PRESENT",-63.87637,-18.105795
"2991",NA,"PRESENT",-67.00886,-28.796095
"2992",NA,"PRESENT",-66.93631,-28.813318
"2993",NA,"PRESENT",-72.52571,-13.527436
"2994",NA,"PRESENT",-72.5257,-13.527603
"2995",NA,"PRESENT",-65.858,-25.18042
"2996",NA,"PRESENT",-72.33827,-13.688021
"2997",NA,"PRESENT",-72.28417,-13.16843
"2998",NA,"PRESENT",-72.28651,-13.131847
"2999",NA,"PRESENT",-67.57201,-29.125551
"3000",NA,"PRESENT",-65.729164,-26.777245
"3001",NA,"PRESENT",-65.39311,-25.283875
"3002",NA,"PRESENT",-65.79525,-26.706156
"3003",NA,"PRESENT",-68.08214,-16.572117
"3004",NA,"PRESENT",-78.25862,0.234403
"3005",NA,"PRESENT",-65.811775,-25.186117
"3006",NA,"PRESENT",-65.88404,-25.253784
"3007",NA,"PRESENT",-65.504105,-24.723211
