"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"359",-75.8885,3.717333,NA,"PRESENT"
"360",-73.7276,4.9136,NA,"PRESENT"
"361",-73.7305,4.9161,NA,"PRESENT"
"362",-73.7284,4.9154,NA,"PRESENT"
"363",-73.445861,4.50992,NA,"PRESENT"
"364",-73.447417,4.51714,NA,"PRESENT"
"365",-73.8636,4.7702,NA,"PRESENT"
"366",-76.017167,3.517528,NA,"PRESENT"
"367",-75.943222,3.649639,NA,"PRESENT"
"368",-76.021611,3.513583,NA,"PRESENT"
"369",-76.038722,3.361611,NA,"PRESENT"
"370",-76.020917,3.505444,NA,"PRESENT"
"371",-76.036639,3.534461,NA,"PRESENT"
"372",-75.926222,3.636722,NA,"PRESENT"
"373",-76.017194,3.519278,NA,"PRESENT"
"374",-73.450667,4.50358,NA,"PRESENT"
"375",-73.628,4.714,NA,"PRESENT"
"376",-73.8,4.7769,NA,"PRESENT"
"377",-75.72425,3.707861,NA,"PRESENT"
"378",-75.698722,3.75225,NA,"PRESENT"
"379",-75.698056,3.757694,NA,"PRESENT"
"380",-75.263978,4.604998,31398,"PRESENT"
"381",-75.706972,3.683639,NA,"PRESENT"
"382",-75.698056,3.755167,NA,"PRESENT"
"383",-75.858694,3.6885,NA,"PRESENT"
"384",-75.728111,3.709778,NA,"PRESENT"
"385",-73.455667,4.51442,NA,"PRESENT"
"386",-78.299446,-0.27102,31451,"PRESENT"
"387",-76.506271,1.780142,31444,"PRESENT"
"388",-75.935194,3.7055,NA,"PRESENT"
"389",-75.271759,4.579233,31403,"PRESENT"
"390",-75.322415,4.459367,31403,"PRESENT"
"391",-73.569218,5.238612,NA,"PRESENT"
"392",-73.572435,5.240003,NA,"PRESENT"
"393",-73.572625,5.239795,NA,"PRESENT"
"394",-73.572643,5.239796,NA,"PRESENT"
"395",-73.577731,5.244022,NA,"PRESENT"
"396",-73.579688,5.244089,NA,"PRESENT"
"397",-73.581629,5.243623,NA,"PRESENT"
"398",-73.568354,5.237597,NA,"PRESENT"
"399",-72.542262,-13.035367,31045,"PRESENT"
"400",-73.73084,4.72709,NA,"PRESENT"
"401",-78.681025,0.181488,31451,"PRESENT"
"402",-78.122465,0.238383,68218,"PRESENT"
"403",-75.734556,3.935444,NA,"PRESENT"
"404",-75.944833,3.705972,NA,"PRESENT"
"405",-75.858556,3.89075,NA,"PRESENT"
"406",-76.007722,3.660528,NA,"PRESENT"
"407",-75.855833,3.888417,NA,"PRESENT"
"408",-75.941861,3.707833,NA,"PRESENT"
"409",-75.939722,3.706556,NA,"PRESENT"
"410",-75.929583,3.82775,NA,"PRESENT"
"411",-75.735722,3.933833,NA,"PRESENT"
"412",-74.893111,2.768722,NA,"PRESENT"
"413",-74.892333,2.771139,NA,"PRESENT"
"414",-73.80576,4.49452,NA,"PRESENT"
"415",-75.422341,4.211249,31407,"PRESENT"
"416",-74.893667,2.757333,NA,"PRESENT"
"417",-74.889472,2.773917,NA,"PRESENT"
"418",-74.896861,2.759222,NA,"PRESENT"
"419",-74.893694,2.778111,NA,"PRESENT"
"420",-74.892806,2.780444,NA,"PRESENT"
"421",-74.892972,2.78325,NA,"PRESENT"
"422",-74.891889,2.782889,NA,"PRESENT"
"423",-74.892417,2.763472,NA,"PRESENT"
"424",-76.65583,3.32483,NA,"PRESENT"
"425",-73.79391,4.609065,31398,"PRESENT"
"426",-75.630903,4.144157,31411,"PRESENT"
"427",-72.386833,6.008583,NA,"PRESENT"
"428",-73.80927,4.57094,NA,"PRESENT"
"429",-73.577682,5.245315,NA,"PRESENT"
"430",-73.578254,5.243959,NA,"PRESENT"
"431",-74.277574,5.949062,NA,"PRESENT"
"432",-75.328146,4.781405,31398,"PRESENT"
"433",-73.5776,5.217731,NA,"PRESENT"
"434",-73.586076,5.247965,NA,"PRESENT"
"435",-73.646562,5.228917,NA,"PRESENT"
"436",-73.581044,5.246896,NA,"PRESENT"
"437",-78.202806,-0.543432,31451,"PRESENT"
"438",-78.15494,0.305204,68218,"PRESENT"
"439",-78.976769,0.087524,31451,"PRESENT"
"440",-74.277556,5.948944,NA,"PRESENT"
"441",-74.275611,5.948472,NA,"PRESENT"
"442",-73.210833,5.9185,NA,"PRESENT"
"443",-73.211389,5.917278,NA,"PRESENT"
"444",-73.209778,5.9175,NA,"PRESENT"
"445",-73.578264,5.472785,NA,"PRESENT"
"446",-74.276424,5.943687,NA,"PRESENT"
"447",-79.330953,-6.712748,31344,"PRESENT"
"448",-76.028914,5.761945,31373,"PRESENT"
"449",-78.967919,-4.757,31398,"PRESENT"
"450",-76.55626,-9.243551,NA,"PRESENT"
"451",-76.495444,-9.315278,NA,"PRESENT"
"452",-75.854204,-9.775425,NA,"PRESENT"
"453",-73.712269,-12.587613,NA,"PRESENT"
"454",-74.636314,-11.45961,NA,"PRESENT"
"455",-78.711151,0.17703,31451,"PRESENT"
"456",-78.717314,0.021535,31451,"PRESENT"
"457",-73.73225,4.91842,NA,"PRESENT"
"458",-75.905444,1.697611,3,"PRESENT"
"459",-75.9055,1.699417,3,"PRESENT"
"460",-75.905556,1.699667,3,"PRESENT"
"461",-77.44563,0.92182,NA,"PRESENT"
"462",-77.44421,0.92328,NA,"PRESENT"
"463",-77.44507,0.92311,NA,"PRESENT"
"464",-73.75508,4.50261,NA,"PRESENT"
"465",-73.75522,4.50189,NA,"PRESENT"
"466",-73.74444,4.56194,NA,"PRESENT"
"467",-73.77286,4.50208,NA,"PRESENT"
"468",-74.670493,-11.461118,NA,"PRESENT"
"469",-78.160041,-0.235614,31451,"PRESENT"
"470",-78.079587,0.383622,31451,"PRESENT"
"471",-78.120231,0.280668,68218,"PRESENT"
"472",-78.05702,0.235042,68218,"PRESENT"
"473",-73.82742,4.65012,NA,"PRESENT"
"474",-78.45307,0.384531,31451,"PRESENT"
"475",-78.152224,0.24626,54765,"PRESENT"
"476",-75.307549,-11.403532,NA,"PRESENT"
"477",-74.670447,-11.475546,NA,"PRESENT"
"478",-75.444542,-10.636218,NA,"PRESENT"
"479",-74.679999,-11.469687,NA,"PRESENT"
"480",-76.385995,2.306733,31438,"PRESENT"
"481",-78.017818,0.291741,54765,"PRESENT"
"482",-78.069209,0.268975,54765,"PRESENT"
"483",-76.024534,-9.751127,31227,"PRESENT"
"484",-75.630667,4.068417,NA,"PRESENT"
"485",-73.7648,4.80343,NA,"PRESENT"
