"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"307",-79.174508,0.615787,NA,"PRESENT"
"308",-79.198236,0.636656,NA,"PRESENT"
"309",-79.201541,0.646166,NA,"PRESENT"
"310",-49.275716,-23.152191,30217,"PRESENT"
"311",-76.063568,-1.044604,30251,"PRESENT"
"312",-68.331141,-10.127107,31208,"PRESENT"
"313",-78.944269,0.393586,31451,"PRESENT"
"314",-78.066693,-1.404066,NA,"PRESENT"
"315",-76.78812,0.88356,NA,"PRESENT"
"316",-71.786,5.234,NA,"PRESENT"
"317",-76.25,1.14,NA,"PRESENT"
"318",-70.047485,-29.83087,29433,"PRESENT"
"319",-47.268925,-21.653511,30357,"PRESENT"
"320",-78.602075,0.145046,1500,"PRESENT"
"321",-76.26757,4.70755,NA,"PRESENT"
"322",-76.76492,0.87067,NA,"PRESENT"
"323",-76.779941,0.870541,NA,"PRESENT"
"324",-79.181242,0.612898,NA,"PRESENT"
"325",-48.788153,-17.67159,37571,"PRESENT"
"326",-74.36516,6.981877,31337,"PRESENT"
"327",-74.361429,6.871933,31337,"PRESENT"
"328",-74.209686,6.848432,31337,"PRESENT"
"329",-58.695981,4.644243,31,"PRESENT"
"330",-75.461072,5.031397,NA,"PRESENT"
"331",-77.05717,4.00123,NA,"PRESENT"
"332",-77.05723,4.01997,NA,"PRESENT"
"333",-73.83551,3.83843,NA,"PRESENT"
"334",-75.528028,4.815139,NA,"PRESENT"
"335",-75.535528,4.813972,NA,"PRESENT"
"336",-75.378722,4.942417,NA,"PRESENT"
"337",-75.37925,4.942472,NA,"PRESENT"
"338",-75.380306,4.94225,NA,"PRESENT"
"339",-71.002083,0.022056,3,"PRESENT"
"340",-78.112416,-1.428952,488,"PRESENT"
"341",-75.386028,5.016806,NA,"PRESENT"
"342",-71.392444,3.818705,NA,"PRESENT"
"343",-69.60138,-2.17299,NA,"PRESENT"
"344",-76.886352,0.816199,31449,"PRESENT"
"345",-75.438889,4.951111,NA,"PRESENT"
"346",-74.75667,1.35111,NA,"PRESENT"
"347",-74.74111,1.37167,NA,"PRESENT"
"348",-73.455667,4.51442,NA,"PRESENT"
"349",-75.635658,8.296499,NA,"PRESENT"
"350",-74.307472,5.900167,NA,"PRESENT"
"351",-73.434056,4.52231,NA,"PRESENT"
"352",-73.447417,4.51714,NA,"PRESENT"
"353",-52.30742,4.74849,5000,"PRESENT"
"354",-71.79144,-16.237834,30826,"PRESENT"
"355",-76.052165,-0.547531,NA,"PRESENT"
"356",-60.716889,-28.642138,29582,"PRESENT"
"357",-73.7284,4.9154,NA,"PRESENT"
"358",-74.74957,0.35778,NA,"PRESENT"
"359",-74.72719,0.36533,NA,"PRESENT"
"360",-74.70863,0.3472,NA,"PRESENT"
"361",-74.62096,0.28856,NA,"PRESENT"
"362",-74.62587,0.2699,NA,"PRESENT"
"363",-69.65172,-2.14773,NA,"PRESENT"
"364",-70.182919,-12.449721,31081,"PRESENT"
"365",-74.280722,5.949194,NA,"PRESENT"
"366",-75.71028,4.09019,NA,"PRESENT"
"367",-73.323528,7.103556,NA,"PRESENT"
"368",-64.565096,-23.7038,30154,"PRESENT"
"369",-75.15095,9.92649,NA,"PRESENT"
"370",-76.948333,1.519972,NA,"PRESENT"
"371",-74.955778,6.073833,NA,"PRESENT"
"372",-74.278389,5.946278,NA,"PRESENT"
"373",-70.8648,5.3778,NA,"PRESENT"
"374",-71.772,6.373,NA,"PRESENT"
"375",-73.387167,7.099917,NA,"PRESENT"
"376",-56.85761,-16.747007,10,"PRESENT"
"377",-54.199496,-25.98862,29913,"PRESENT"
"378",-74.276417,5.943694,NA,"PRESENT"
"379",-70.8018,5.3131,NA,"PRESENT"
"380",-70.8316,5.314,NA,"PRESENT"
"381",-70.004,5.49,NA,"PRESENT"
"382",-52.7657,4.93463,45413,"PRESENT"
"383",-70.806,5.335,NA,"PRESENT"
"384",-70.787,5.3387,NA,"PRESENT"
"385",-74.59117,0.03218,NA,"PRESENT"
"386",-74.59998,0.0601,NA,"PRESENT"
"387",-77.073795,0.654024,48,"PRESENT"
"388",-47.923044,-15.857074,30855,"PRESENT"
"389",-53.898683,-25.999709,29913,"PRESENT"
"390",-76.29456,4.68583,NA,"PRESENT"
"391",-75.58871,1.43699,NA,"PRESENT"
"392",-68.05131,5.94589,NA,"PRESENT"
"393",-67.72197,6.09917,NA,"PRESENT"
"394",-67.71239,6.09414,NA,"PRESENT"
"395",-74.15592,6.69555,NA,"PRESENT"
"396",-68.051306,5.945889,NA,"PRESENT"
"397",-67.721972,6.099167,NA,"PRESENT"
"398",-67.712389,6.094139,NA,"PRESENT"
"399",-52.5785,5.01922,5000,"PRESENT"
"400",-68.43392,5.61478,NA,"PRESENT"
"401",-68.43869,5.62006,NA,"PRESENT"
"402",-68.17906,5.76369,NA,"PRESENT"
"403",-68.17514,5.77864,NA,"PRESENT"
"404",-68.21467,5.78972,NA,"PRESENT"
"405",-68.42803,5.80225,NA,"PRESENT"
"406",-68.43644,5.81458,NA,"PRESENT"
"407",-67.764,6.15183,NA,"PRESENT"
"408",-68.18825,5.84175,NA,"PRESENT"
"409",-74.15387,6.70474,NA,"PRESENT"
"410",-68.219528,5.786472,NA,"PRESENT"
"411",-67.756139,6.137611,NA,"PRESENT"
"412",-68.433917,5.614778,NA,"PRESENT"
"413",-68.438694,5.620056,NA,"PRESENT"
"414",-68.179056,5.763694,NA,"PRESENT"
"415",-68.175139,5.778639,NA,"PRESENT"
"416",-68.214667,5.789722,NA,"PRESENT"
"417",-67.764,6.151833,NA,"PRESENT"
"418",-68.160621,5.83562,NA,"PRESENT"
"419",-68.226976,5.871962,NA,"PRESENT"
"420",-70.198283,6.7121,5,"PRESENT"
"421",-78.130133,0.398042,54765,"PRESENT"
"422",-76.30284,4.7383,NA,"PRESENT"
"423",-74.14478,6.47504,NA,"PRESENT"
"424",-46.0050893,-23.39112,NA,"PRESENT"
"425",-45.1763284,-23.3269559,NA,"PRESENT"
"426",-45.2723488,-23.2237054,NA,"PRESENT"
"427",-45.568135,-23.2745108,NA,"PRESENT"
"428",-45.5455593,-23.1060183,NA,"PRESENT"
"429",-45.6933165,-23.4951061,NA,"PRESENT"
"430",-45.7781011,-23.507333,NA,"PRESENT"
"431",-45.1321978,-23.2210557,NA,"PRESENT"
"432",-45.1681791,-23.2336566,NA,"PRESENT"
"433",-45.3333695,-23.3366356,NA,"PRESENT"
"434",-68.506215,5.595931,NA,"PRESENT"
"435",-68.466863,5.575225,NA,"PRESENT"
"436",-75.710278,4.090194,NA,"PRESENT"
"437",-77.38762,1.17497,NA,"PRESENT"
"438",-73.7279,4.9144,NA,"PRESENT"
"439",-73.72786,4.91442,NA,"PRESENT"
"440",-70.7744,5.3304,NA,"PRESENT"
"441",-68.46253,5.59533,NA,"PRESENT"
"442",-75.10379,6.25207,NA,"PRESENT"
"443",-73.7305,4.9161,NA,"PRESENT"
"444",-73.7285,4.9154,NA,"PRESENT"
"445",-47.477224,-21.747177,30357,"PRESENT"
"446",-73.72761,4.91361,NA,"PRESENT"
"447",-73.7305,4.91614,NA,"PRESENT"
"448",-76.562355,1.797922,31444,"PRESENT"
"449",-76.422457,1.711658,31444,"PRESENT"
"450",-71.546709,-12.816152,31057,"PRESENT"
"451",-75.358817,4.971217,NA,"PRESENT"
"452",-75.3698,4.980267,NA,"PRESENT"
"453",-75.3703,4.980567,NA,"PRESENT"
"454",-75.3704,4.98065,NA,"PRESENT"
"455",-75.3748,4.986033,NA,"PRESENT"
"456",-75.395933,4.978483,NA,"PRESENT"
"457",-75.396917,4.97985,NA,"PRESENT"
"458",-76.087306,1.602139,NA,"PRESENT"
"459",-73.7399,4.8995,NA,"PRESENT"
"460",-73.73992,4.89947,NA,"PRESENT"
"461",-73.72839,4.91536,NA,"PRESENT"
"462",-70.05659,-3.84331,NA,"PRESENT"
"463",-75.09307,10.68562,NA,"PRESENT"
"464",-75.816249,5.607913,100,"PRESENT"
"465",-75.992065,5.733049,31373,"PRESENT"
"466",-73.73983,4.90114,NA,"PRESENT"
"467",-73.71783,4.87722,NA,"PRESENT"
"468",-75.395917,4.97845,NA,"PRESENT"
"469",-75.399117,4.9831,NA,"PRESENT"
"470",-76.34972,1.79711,NA,"PRESENT"
"471",-75.18981,10.68638,NA,"PRESENT"
"472",-74.355706,6.814001,31337,"PRESENT"
"473",-65.977793,-10.861194,478,"PRESENT"
"474",-78.197704,-2.173733,31,"PRESENT"
"475",-76.116678,1.618583,NA,"PRESENT"
"476",-59.708234,-26.994355,29798,"PRESENT"
"477",-59.601437,-26.864522,29798,"PRESENT"
"478",-78.635331,0.117589,NA,"PRESENT"
"479",-76.14839,4.79914,NA,"PRESENT"
"480",-77.07444,4.00337,NA,"PRESENT"
"481",-77.0674,3.98936,NA,"PRESENT"
"482",-73.83857,3.83854,NA,"PRESENT"
"483",-74.22125,6.733862,31344,"PRESENT"
"484",-74.206322,6.960559,31337,"PRESENT"
"485",-74.304525,6.96043,31337,"PRESENT"
"486",-74.322583,6.76099,31344,"PRESENT"
"487",-74.381769,6.684012,31344,"PRESENT"
"488",-76.8113,1.6905,NA,"PRESENT"
"489",-75.36975,4.9802,NA,"PRESENT"
"490",-77.07806,3.9984,NA,"PRESENT"
"491",-77.02434,4.00193,NA,"PRESENT"
"492",-77.00021,3.96913,NA,"PRESENT"
"493",-77.00873,3.96764,NA,"PRESENT"
"494",-77.04704,4.01656,NA,"PRESENT"
"495",-75.105139,9.940667,NA,"PRESENT"
"496",-63.862839,-17.619155,6093,"PRESENT"
"497",-63.895798,-17.581194,4056,"PRESENT"
"498",-67.73356,6.08489,NA,"PRESENT"
"499",-74.15592,6.69558,NA,"PRESENT"
"500",-74.14825,6.70408,NA,"PRESENT"
"501",-68.244278,6.176528,NA,"PRESENT"
"502",-67.896778,6.081778,NA,"PRESENT"
"503",-52.84979,5.28977,5000,"PRESENT"
"504",-61.108583,5.571811,31379,"PRESENT"
"505",-75.36875,4.978889,NA,"PRESENT"
"506",-75.370222,4.980556,NA,"PRESENT"
"507",-75.370611,4.981583,NA,"PRESENT"
"508",-75.359111,4.971472,NA,"PRESENT"
"509",-69.07424,5.76139,NA,"PRESENT"
"510",-68.46842,5.67792,NA,"PRESENT"
"511",-68.17917,5.78517,NA,"PRESENT"
"512",-68.1235,5.80097,NA,"PRESENT"
"513",-68.15642,5.80747,NA,"PRESENT"
"514",-68.19356,5.85075,NA,"PRESENT"
"515",-67.848972,5.83825,NA,"PRESENT"
"516",-75.37875,4.942389,NA,"PRESENT"
"517",-75.529778,4.813778,NA,"PRESENT"
"518",-75.529472,4.814028,NA,"PRESENT"
"519",-75.528056,4.815111,NA,"PRESENT"
"520",-68.50496,5.72637,NA,"PRESENT"
"521",-73.514444,7.066111,NA,"PRESENT"
"522",-67.81625,5.788833,NA,"PRESENT"
"523",-67.736944,6.146944,NA,"PRESENT"
"524",-65.407003,-16.969215,1992,"PRESENT"
"525",-59.85483,-25.850449,29913,"PRESENT"
"526",-70.817673,-13.806409,30994,"PRESENT"
"527",-75.381833,4.943889,NA,"PRESENT"
"528",-73.44429,4.51738,NA,"PRESENT"
"529",-76.032806,5.091583,NA,"PRESENT"
"530",-76.02,5.148778,NA,"PRESENT"
"531",-75.377778,4.941583,NA,"PRESENT"
"532",-75.382722,4.937056,NA,"PRESENT"
"533",-75.68,1.45556,NA,"PRESENT"
"534",-76.038583,5.036,NA,"PRESENT"
"535",-76.163194,5.299806,NA,"PRESENT"
"536",-76.086,4.947417,NA,"PRESENT"
"537",-76.078694,4.972833,NA,"PRESENT"
"538",-76.045083,5.056167,NA,"PRESENT"
"539",-76.02475,5.133861,NA,"PRESENT"
"540",-75.365383,4.974667,NA,"PRESENT"
"541",-75.37035,4.98065,NA,"PRESENT"
"542",-75.3659,4.975,NA,"PRESENT"
"543",-75.363733,4.9736,NA,"PRESENT"
"544",-75.528983,4.814383,NA,"PRESENT"
"545",-75.64529,1.40615,NA,"PRESENT"
"546",-46.817426,-14.580181,30954,"PRESENT"
