"","x","y","Presence","dem","temp_mean_annual","temp_mean_diurnal","prec_annual","canopy_height","pop_dens","aspect","slope","water_bodies"
"467",-1701500,3714500,1,262,24.94921875,6.79501247406006,4204.64306640625,24,3.18698120117188,187.028396606445,0.526767611503601,0.681600034236908
"468",-1844500,3713500,1,1242,20.3595218658447,7.62959814071655,5573.2353515625,36,12.2263689041138,136.727386474609,14.4686794281006,0
"469",-1843500,3712500,1,1210,20.9476070404053,7.60348653793335,5457.6845703125,31,12.2263698577881,60.2496337890625,9.20051383972168,0
"470",-1843500,3711500,1,1189,19.7841300964355,7.59999990463257,5526.9404296875,31,12.2263698577881,58.8049011230469,10.8208141326904,0
"471",-1803500,3710500,1,245,25.1809577941895,7.53165531158447,3411.82885742188,19,7.23767375946045,176.820175170898,0.516443192958832,1.22400009632111
"472",-1954500,3706500,1,3281,9.30415058135986,7.5,1977.44104003906,21,123.120483398438,307.541046142578,12.5147752761841,0.0639999955892563
"473",-1870500,3674500,1,388,24.485034942627,7.09999990463257,5580.6943359375,28,14.4443845748901,193.122177124023,3.37158846855164,0.968000054359436
"474",-1869500,3674500,1,406,24.4788093566895,7.09648275375366,5526.283203125,26,14.4450721740723,155.254241943359,5.83128499984741,1.02400004863739
"475",-2000500,3663500,1,3565,8.97255897521973,7.5,1694.04431152344,16,130.850128173828,186.670394897461,8.44699001312256,0.092799998819828
"476",-1913500,3659500,1,498,24.1969242095947,7.19999980926514,4346.17041015625,23,18.5889339447021,174.71305847168,2.4080924987793,0.887999951839447
"477",-1891500,3650500,1,471,23.8379154205322,8,5331.48583984375,28,6.34778261184692,69.1110229492188,1.58641993999481,0.555199980735779
"478",-1890500,3649500,1,429,24.0189933776855,7.99290466308594,5097.109375,27,6.34778261184692,85.4892044067383,3.36552548408508,0.403200000524521
"479",-1939500,3646500,1,1817,16.6354007720947,6.5,4881.29052734375,34,18.5793170928955,225.274703979492,14.4720363616943,0.0511999987065792
"480",-1929500,3640500,1,781,22.6531734466553,6.79781627655029,5393.95068359375,32,18.5793170928955,147.983901977539,11.9934358596802,0.0511999987065792
"481",-1928500,3640500,1,706,23.1778316497803,6.81456470489502,5401.74853515625,30,18.5793170928955,135.445297241211,7.77147102355957,0.0639999955892563
"482",-1927500,3639500,1,628,23.5948486328125,6.90000009536743,5272.62744140625,28,18.5793170928955,120.130088806152,3.03621172904968,0.108799993991852
"483",-1925500,3639500,1,542,23.7053470611572,6.92990636825562,5278.7919921875,30,18.5793170928955,161.747131347656,4.26807928085327,0.134399995207787
"484",-1931500,3638500,1,786,22.536937713623,6.80265331268311,4973.5947265625,32,18.5793170928955,120.984786987305,6.66142749786377,0.0511999987065792
"485",-1928500,3638500,1,665,23.3978023529053,6.8753137588501,5097.326171875,32,18.5793190002441,155.556045532227,1.81669819355011,0.127999991178513
"486",-2138500,3637500,1,201,24.0656490325928,4.74701881408691,6312.34228515625,34,8.23246288299561,146.309936523438,1.6006007194519,0.239999994635582
